source,target,distance,duration,pm
0,120,335,242,72.0930478377
0,309,401,329,61.6608872979
0,326,710,573,67.2092026481
0,166,753,566,77.7476749914
0,268,1001,750,67.269211196
0,5,957,699,76.9910188843
0,272,1011,846,48.07760091390001
0,149,992,786,81.7813531621
0,251,1260,1011,71.9381969224
1,338,570,442,60.8126910815
1,306,743,577,55.6059862308
1,294,628,491,70.9168956959
1,152,849,646,71.3841189542
1,74,847,626,75.3109547828
1,28,1211,967,76.4428413975
1,112,1311,1016,79.8724751456
1,18,1076,817,77.1657407476
1,222,1137,880,66.37464485859999
2,264,889,646,70.0731934033
2,184,909,681,60.8177868858
2,302,1329,1037,76.7783417243
2,138,1355,1004,68.8844873755
2,132,1285,1065,69.1875356347
2,282,1426,1061,65.9800547207
2,163,1425,1073,60.7025272429
2,226,1721,1335,67.95204228850001
2,342,1737,1337,71.53704598770001
3,177,632,507,82.8829616046
3,15,819,612,82.66253574779999
3,111,1238,902,70.93111600659999
3,55,1224,981,71.0529137571
3,253,1558,1224,78.0665201707
3,332,1257,981,67.6554981801
3,11,1328,1001,61.66656297390001
3,82,1491,1183,73.57972019600001
3,299,1911,1504,66.710135421
4,27,432,337,71.1402668045
4,165,556,401,43.5423933819
4,139,704,543,78.33771847850001
4,257,659,511,67.0741025388
4,150,792,578,76.7812260557
4,65,904,711,79.7640361795
4,260,814,621,69.987682799
4,41,1088,830,67.5753996258
4,100,965,746,54.5192404776
5,272,405,337,48.07760091390001
5,195,485,340,55.4870826708
5,120,972,800,72.0930478377
5,326,850,719,67.2092026481
5,133,907,697,61.452211193000004
5,67,705,572,71.3257727816
5,308,868,730,83.8734698308
5,244,973,694,73.9788415564
5,0,957,795,63.027657875
6,281,409,276,72.5318286267
6,315,746,620,79.9585255857
6,89,792,556,61.3296155598
6,102,652,521,94.93728557040001
6,98,564,388,70.6516892842
6,250,752,541,59.4316808904
6,26,622,555,77.2854769087
6,335,1154,881,70.5791503184
6,57,1156,818,79.7970072921
7,75,381,277,73.7024580651
7,259,353,294,73.7665396324
7,346,563,449,69.3739588173
7,63,441,308,77.0884917602
7,97,573,410,56.8320623285
7,198,460,349,89.7953549309
7,85,560,415,74.5192949252
7,146,639,453,75.3200530245
7,168,779,651,68.8737698393
8,78,482,338,68.670324345
8,298,584,430,84.1459358039
8,191,628,436,79.4434469327
8,48,528,405,85.5014569162
8,207,735,539,67.8991732946
8,275,664,488,73.46672758369998
8,136,1001,719,63.59076869720001
8,104,1289,901,77.4033087035
