source,target,distance,duration,pm
0,120,335,242,72.0930478377
0,309,401,329,61.6608872979
0,326,710,573,67.2092026481
0,166,753,566,77.7476749914
0,268,1001,750,67.269211196
0,5,957,699,76.9910188843
0,272,1011,846,48.07760091390001
0,149,992,786,81.7813531621
0,251,1260,1011,71.9381969224
0,263,1234,931,75.9255085876
0,118,1030,753,77.6481734864
0,109,978,756,61.7030344539
0,308,1397,1092,83.8734698308
0,195,1425,1028,55.4870826708
0,231,1391,1014,82.0451668365
0,190,1565,1157,76.2721221332
0,133,1803,1322,61.452211193000004
0,12,2020,1551,76.93059858810001
0,186,1603,1231,87.8359656847
1,338,570,442,60.8126910815
1,306,743,577,55.6059862308
1,294,628,491,70.9168956959
1,152,849,646,71.3841189542
1,74,847,626,75.3109547828
1,28,1211,967,76.4428413975
1,112,1311,1016,79.8724751456
1,18,1076,817,77.1657407476
1,222,1137,880,66.37464485859999
1,113,1615,1283,85.507360565
1,216,1170,880,74.9393993009
1,47,1376,1045,77.6106889508
1,69,2471,1873,89.81978876790001
1,99,1942,1498,70.08880067359999
1,214,1518,1124,67.8202577155
1,157,1892,1462,62.1486378799
1,148,1803,1390,83.6651037068
1,72,2187,1645,58.2540208372
1,312,1524,1165,75.1399918203
2,264,889,646,70.0731934033
2,184,909,681,60.8177868858
2,302,1329,1037,76.7783417243
2,138,1355,1004,68.8844873755
2,132,1285,1065,69.1875356347
2,282,1426,1061,65.9800547207
2,163,1425,1073,60.7025272429
2,226,1721,1335,67.95204228850001
2,342,1737,1337,71.53704598770001
2,45,1712,1304,77.1143133982
2,134,2095,1626,67.074923526
2,246,1876,1401,89.0083571717
2,340,2287,1724,64.1130886905
2,233,1756,1424,77.6193219124
2,218,2385,1853,70.8090481686
2,197,2355,1837,69.5661934046
2,225,2237,1713,72.3210036551
2,178,2767,2047,62.6730520085
2,81,2661,2120,69.18588285770001
3,177,632,507,82.8829616046
3,15,819,612,82.66253574779999
3,111,1238,902,70.93111600659999
3,55,1224,981,71.0529137571
3,253,1558,1224,78.0665201707
3,332,1257,981,67.6554981801
3,11,1328,1001,61.66656297390001
3,82,1491,1183,73.57972019600001
3,299,1911,1504,66.710135421
3,49,1800,1399,62.1752820128
3,252,1868,1461,56.9405175212
3,116,1531,1204,68.9461574578
3,289,1564,1177,77.23967801100001
3,151,2336,1797,67.51764459479999
3,223,1901,1413,80.0680664021
3,230,2221,1733,84.8557757647
3,303,2385,1816,66.6600238788
3,204,2452,1860,74.58484241859999
