,Unnamed: 0,latitude,longitude,address,position,pm2.5,long_wgs84,lat_wgs84,E_utm,N_utm,geometry,x,y,z
0,72,50.812489,4.3792029999999995,FERMÉE-TRAVAUX STIB - ULB SOLBOSCH / VUB SOLBOSCH - AV. F.ROOSEVELT/F.ROOSEVELTLAAN 19,"50.812489, 4.379203",63.027657875,4.3792029999999995,50.812489,5252547.52739,10123189.8288,POINT (4.379203 50.812489),-1779.6322426681895,-1083.7854543208664,-6020.627805292261
1,207,50.833424,4.313378,BIESTEBROECK / BIESTEBROEK - CHEE DE MONS (FACE AU 518-526) / BERGENSESTEENWEG (TEGENOVER 518-526),"50.833424, 4.313378",78.8726802496,4.313378,50.833424,5249729.75985,10117127.1958,POINT (4.313378 50.833424),-2086.6009872474533,-1331.393775350518,-5870.530464530088
2,297,50.804455,4.426369,TEN REUKEN - BD DU SOUVERAIN FACE 76,"50.804455, 4.426369",53.5807796005,4.426369,50.804455,5253563.37317,10127507.1661,POINT (4.426369 50.804455),-1542.670938424664,-922.5694299655265,-6112.174164945976
3,298,50.877037,4.300847,HALL DES SPORTS - AV DES 9 PROVINCES / 9 PROVINCIES LAAN / RUE VANDERVEKEN/STRAAT,"50.877037, 4.300847",80.3057668322,4.300847,50.877037,5243519.04565,10115808.214,POINT (4.300847 50.877037),-2086.639177989274,-1463.2250462984919,-5839.053896374397
4,96,50.863875,4.358708,HOTEL PRESIDENT/PRESIDENT HOTEL - BOULEVARD DU ROI ALBERT II/KONING ALBERT-II LAAN,"50.863875, 4.358708",86.04048798950001,4.358708,50.863875,5245246.4604400005,10121105.1034,POINT (4.358708 50.863875),-1823.1998946958067,-1243.0204615384293,-5976.661549408498
5,113,50.820042,4.374785,ABBAYE DE LA CAMBRE/ABDIJ TER KAMEREN - AVENUE EMILE DURAY (FACE AU N° 2) /EMILE DURAYLAAN (TEGENOVER N° 2),"50.820042, 4.374785",76.9910188843,4.374785,50.820042,5251478.06111,10122755.4369,POINT (4.374785 50.820042),-1793.99115267384,-1111.1914983766314,-6011.363422557605
6,235,50.810085,4.324864,FOREST NATIONAL / VORST NATIONAAL - AV VICTOR ROUSSEAU DVT FOREST NATIONAL / VICTOR ROUSSEAU LAAN VOOR VORST NATIONAAL,"50.810085, 4.324864",79.56075235770001,4.324864,50.810085,5253041.81848,10118268.4474,POINT (4.324864 50.810085),-2059.290720487981,-1247.3191542369377,-5898.572510021873
7,36,50.845124,4.351486,PLACE ST JEAN/SINT-JANSPLEIN - RUE DU LOMBARD/LOMBARDSTRAAT 42,"50.845124, 4.351486",83.1785942079,4.351486,50.845124,5247950.87147,10120532.371,POINT (4.351486 50.845124),-1882.250527036067,-1232.2270627092623,-5960.5696388348115
8,240,50.81418,4.347721,VANDERKINDERE - AVENUE ALBERT/ALBERTLAAN N° 272,"50.81418, 4.347721",58.8756459072,4.347721,50.81418,5252392.87859,10120325.3116,POINT (4.347721 50.81418),-1938.6069705348893,-1185.0987322993728,-5952.057208100066
9,281,50.895485,4.341311,ATOMIUM - BOULEVARD DU CENTENAIRE / EEUWFEESTLAAN,"50.895485, 4.341311",71.54948504069999,4.341311,50.895485,5240770.34444,10119392.7837,POINT (4.341311 50.895485),-1866.7450212652534,-1361.0785602542853,-5937.370560980467
