,latitude,longitude,pm2.5,geometry
72,50.812489,4.379203,85.64328641184855,POINT (4.379203 50.812489)
207,50.833424,4.313378,75.94208976483856,POINT (4.313378 50.833424)
297,50.804455,4.426369,78.2143579534963,POINT (4.426369 50.804455)
298,50.877037,4.300847,80.38287304260389,POINT (4.300847 50.877037)
96,50.863875,4.358708,71.72828634266706,POINT (4.358708 50.863875)
113,50.820042,4.374785,89.65293321748351,POINT (4.374785 50.820042)
235,50.810085,4.324864,62.41625491455599,POINT (4.324864 50.810085)
36,50.845124,4.351486,60.93079569323217,POINT (4.351486 50.845124)
240,50.81418,4.347721,86.10534530484665,POINT (4.347721 50.81418)
281,50.895485,4.341311,79.4909824368666,POINT (4.341311 50.895485)
228,50.816525,4.336212,82.84038754472792,POINT (4.336212 50.816525)
253,50.872475,4.314266,57.17329962973713,POINT (4.314266 50.872475)
245,50.798988,4.375581,73.51119038591428,POINT (4.375581 50.798988)
333,50.856582,4.430988,75.42925124903144,POINT (4.430988 50.856582)
95,50.87808,4.34793,77.40692593943336,POINT (4.34793 50.87808)
256,50.874767,4.308977,69.75831502919429,POINT (4.308977 50.874767)
224,50.824352,4.334465,65.0706560579063,POINT (4.334465 50.824352)
16,50.835968,4.355508,80.72672789440098,POINT (4.355508 50.835968)
2,50.836151,4.326019,71.92716489624696,POINT (4.326019 50.836151)
305,50.895592,4.387965,86.23829852997585,POINT (4.387965 50.895592)
98,50.85904,4.312402,80.96976308439577,POINT (4.312402 50.85904)
166,50.876205,4.337137,52.350537132425444,POINT (4.337137 50.876205)
39,50.834237,4.350732,89.19238334759632,POINT (4.350732 50.834237)
88,50.873354,4.334311,72.28544838912462,POINT (4.334311 50.873354)
258,50.862152,4.323353,55.23501414109326,POINT (4.323353 50.862152)
193,50.848866,4.320628,76.60234856517212,POINT (4.320628 50.848866)
233,50.813858,4.330992,73.37942079731565,POINT (4.330992 50.813858)
141,50.860652,4.358116,56.8280043888728,POINT (4.358116 50.860652)
203,50.84045,4.305055,75.61044065253884,POINT (4.305055 50.84045)
48,50.849358,4.363589,85.73972825469626,POINT (4.363589 50.849358)
327,50.874082,4.362205,89.61231190133596,POINT (4.362205 50.874082)
103,50.834792,4.364115,93.74487344750916,POINT (4.364115 50.834792)
30,50.853666,4.351771,73.33620895021484,POINT (4.351771 50.853666)
169,50.877125,4.387515,69.54720053267535,POINT (4.387515 50.877125)
84,50.85896,4.330107,65.11307264295732,POINT (4.330107 50.85896)
259,50.859608,4.33409,84.62911223600025,POINT (4.33409 50.859608)
62,50.84177,4.38418,63.128087691271155,POINT (4.38418 50.84177)
